description,pointnumber,datetime,valuetodate,mindate,minvalue,maxdate,maxvalue,avgvalue,choice,temp,holiday
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 17:59,8552.104492,05-Oct-14 17:39:06:683,8444.384766,05-Oct-14 17:03:05:97,8897.120117,8611.847935,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 18:59,8896.800781,05-Oct-14 17:57:06:47,8552.104492,05-Oct-14 18:57:06:473,8896.800781,8708.423689,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 19:59,9052.392578,05-Oct-14 19:15:04:667,8854.44043,05-Oct-14 19:09:06:32,9144.392578,9031.146764,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 20:59,9417.248047,05-Oct-14 19:57:11:373,9052.392578,05-Oct-14 20:30:06:46,9428.320313,9302.782552,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 21:59,9229.624023,05-Oct-14 21:54:10:387,9196.592773,05-Oct-14 21:18:07:023,9421.424805,9307.81901,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 22:59,8899.144531,05-Oct-14 22:45:07:213,8835.120117,05-Oct-14 22:00:03:18,9262.080078,9047.288877,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/5/14 23:59,8698.272461,05-Oct-14 23:42:07:877,8592.87207,05-Oct-14 23:12:08:163,9003.816406,8839.090262,KW,27,1
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 0:59,8491.008789,06-Oct-14 00:39:06:03,8449.776367,06-Oct-14 00:06:10:63,8702.080078,8576.150809,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 1:59,8342.144531,06-Oct-14 01:36:06:54,8263.132813,06-Oct-14 00:57:04:023,8491.008789,8349.997768,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 2:59,8086.244141,06-Oct-14 02:39:09:203,8052.024414,06-Oct-14 01:57:05:787,8342.144531,8143.510905,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 3:59,7724.452148,06-Oct-14 03:42:09:183,7683.860352,06-Oct-14 02:57:09:147,8086.244141,7863.355957,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 4:59,7580.78418,06-Oct-14 04:48:06:147,7508.692383,06-Oct-14 04:03:04:19,7771.248535,7634.266462,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 5:59,7878.188477,06-Oct-14 05:00:11:483,7540.596191,06-Oct-14 05:57:06:127,7878.188477,7653.070824,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 6:59,7576.968262,06-Oct-14 06:42:04:917,7467.564453,06-Oct-14 06:09:10:187,8068.796387,7760.573289,KW,26,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 7:59,7951.336426,06-Oct-14 06:57:05:053,7576.968262,06-Oct-14 07:57:09:58,7951.336426,7781.002441,KW,27,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 8:59,8282.984375,06-Oct-14 08:18:10:233,7908.880371,06-Oct-14 08:57:05:997,8282.984375,8071.366885,KW,28,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 9:59,8694.959961,06-Oct-14 09:00:05:987,8154.504395,06-Oct-14 09:48:06:05,8698.432617,8435.997791,KW,29,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 10:59,8828.952148,06-Oct-14 10:33:09:097,8563.928711,06-Oct-14 10:48:09:53,8886.304688,8702.230143,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 11:59,8855.488281,06-Oct-14 11:09:05:927,8602.464844,06-Oct-14 11:33:06:183,9018.560547,8816.472703,KW,30,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 12:59,8829.78418,06-Oct-14 12:12:09:027,8633.536133,06-Oct-14 12:03:11:823,8946.864258,8765.128395,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 13:59,8968.288086,06-Oct-14 13:18:05:8,8762.432617,06-Oct-14 13:51:08:3,9008.296875,8882.763858,KW,31,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 14:59,9120.024414,06-Oct-14 14:03:08:32,8764.120117,06-Oct-14 14:51:10:003,9131.672852,8918.984422,KW,32,0
MAINS-IP1-R-POWER(TOTAL)                     ,57395,10/6/14 15:59,9234.296875,06-Oct-14 15:06:03:93,9000.664063,06-Oct-14 15:42:05:94,9368.632813,9194.518183,KW,31,0
